,Objective,Regularization,Posterior Predictive,mnist,fmnist,cifar10,mnist-test/rmse,fmnist-test/rmse,cifar10-test/rmse,mnist-test/kl_div,fmnist-test/kl_div,cifar10-test/kl_div
0,Homoscedastic,EB,Y,-4.48 (0.18),-4.36 (0.02),-5.38 (0.00),16.00 (0.27),16.32 (0.25),52.65 (0.03),0.77 (0.20),0.64 (0.01),1.66 (0.00)
1,Naive NLL,GS,N,-77835.68 (74481.46),-4.32 (0.03),-5.38 (0.00),17.31 (0.29),16.16 (0.13),52.65 (0.03),nan (nan),0.59 (0.03),1.66 (0.00)
2,$\beta$-NLL (0.5),GS,N,-4.35 (0.15),-4.28 (0.00),-5.16 (0.03),20.19 (3.44),18.53 (0.18),43.20 (0.28),0.62 (0.16),0.56 (0.01),1.44 (0.02)
3,$\beta$-NLL (1.0),GS,N,-4.34 (0.08),-4.24 (0.01),-5.16 (0.06),18.68 (1.35),15.84 (0.13),42.54 (1.09),0.61 (0.08),0.52 (0.01),1.44 (0.07)
4,Faithful,GS,N,-4.31 (0.05),-4.56 (0.01),-5.39 (0.21),17.83 (0.77),23.14 (0.15),42.88 (0.06),0.58 (0.05),0.84 (0.00),1.67 (0.22)
5,MC-Dropout,GS,N,-4.26 (0.06),-4.04 (0.00),-7.26 (0.97),18.66 (1.02),17.13 (0.13),nan (nan),0.53 (0.05),0.31 (0.00),3.54 (0.97)
6,VI,GS,N,-4.31 (0.00),-4.17 (0.12),-5.39 (0.00),17.86 (0.12),19.90 (2.00),52.99 (0.32),0.59 (0.00),0.45 (0.11),1.67 (0.00)
7,Naive NLL,EB,Y,-4.17 (0.03),-4.18 (0.03),-5.05 (0.01),16.91 (0.72),17.08 (0.09),39.33 (0.32),0.43 (0.00),0.34 (0.01),1.31 (0.00)
8,Naive NLL,EB,N,-5.38 (0.00),-4.22 (0.04),-5.38 (0.00),52.65 (0.03),16.37 (0.00),52.65 (0.03),1.66 (0.00),0.49 (0.04),1.66 (0.00)
9,Natural NLL,GS,Y,-4.29 (0.01),-4.03 (0.03),-4.96 (0.00),17.91 (0.09),16.67 (0.40),37.16 (0.05),0.56 (0.01),0.36 (0.01),1.24 (0.00)
10,Natural NLL,GS,N,-4.28 (0.01),-4.09 (0.01),-4.96 (0.00),17.91 (0.09),16.67 (0.40),37.16 (0.05),0.56 (0.01),0.36 (0.01),1.24 (0.00)
11,Natural NLL,EB,Y,-4.14 (0.02),-4.02 (0.01),-5.09 (0.04),16.05 (0.35),16.81 (0.15),39.35 (0.13),0.41 (0.01),0.33 (0.00),1.46 (0.06)
12,Natural NLL,EB,N,-4.15 (0.02),-4.05 (0.01),-5.18 (0.06),16.05 (0.35),16.81 (0.15),39.35 (0.13),0.41 (0.01),0.33 (0.00),1.46 (0.06)
